Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
16,5,4,2,3,10,14,12,4,11,0,1,2,0,1,0,2,5,2,1
10,5,0,2,1,3,11,7,4,11,0,0,2,1,0,0,21,13,5,12
10,5,0,2,10,7,5,5,4,11,0,2,0,0,0,0,9,10,5,7
21,5,2,2,17,15,9,12,4,11,0,0,1,1,0,1,8,6,5,7
10,5,2,2,3,10,14,12,4,11,0,1,2,0,1,0,2,5,2,7
6,5,2,2,6,12,6,1,4,11,0,0,1,0,0,2,6,4,4,3
10,5,3,2,19,7,2,1,4,11,0,1,0,0,0,0,15,11,5,7
22,5,3,2,10,7,5,5,4,11,0,2,0,0,0,0,9,10,5,2
27,5,3,2,17,15,9,12,4,11,0,0,1,1,0,1,8,6,5,2
26,5,4,2,3,12,6,3,4,11,0,2,0,0,0,0,0,6,0,2
7,5,0,2,20,24,1,1,4,11,0,0,1,1,0,3,13,7,6,7
22,5,2,2,1,3,11,7,4,11,0,0,2,1,0,0,21,13,5,2
24,5,4,2,3,10,14,12,4,11,0,1,2,0,1,0,2,5,2,7
10,5,4,2,1,3,11,7,4,11,0,0,2,1,0,0,21,13,5,7
11,5,0,2,6,12,6,1,4,11,0,0,1,0,0,2,6,4,4,1
7,6,2,2,0,6,16,15,23,8,0,0,2,1,1,0,9,9,5,7
26,6,2,2,3,12,6,3,23,8,0,2,0,0,0,0,0,6,0,3
25,6,4,2,0,1,7,9,23,8,0,0,0,0,0,0,14,7,7,7
10,6,2,2,0,1,7,9,23,8,0,0,0,0,0,0,14,7,7,7
21,6,3,2,22,21,8,8,23,8,0,0,2,0,1,3,3,8,1,7
19,6,3,2,0,4,15,19,23,8,0,0,1,1,0,0,22,10,10,9
19,6,4,2,9,23,0,4,23,8,0,1,1,1,0,5,5,10,1,7
26,6,4,2,3,12,6,3,23,8,0,2,0,0,0,0,0,6,0,2
0,6,0,2,10,14,9,17,23,8,1,0,1,0,1,4,17,0,12,0
0,6,0,2,14,2,5,6,23,8,1,1,0,0,0,0,12,10,5,0
19,6,3,2,0,4,15,19,23,8,0,0,1,1,0,0,22,10,10,3
13,6,3,2,3,12,6,3,23,8,0,2,0,0,0,0,0,6,0,2
27,6,3,2,17,15,9,12,23,8,0,0,1,1,0,1,8,6,5,2
13,6,0,0,3,12,6,3,23,8,0,2,0,0,0,0,0,6,0,3
24,6,0,0,0,1,7,9,23,8,0,0,0,0,0,0,14,7,7,3
21,6,3,0,9,23,0,4,23,8,0,1,1,1,0,5,5,10,1,7
8,6,4,0,0,1,7,9,23,8,0,0,0,0,0,0,14,7,7,2
10,6,2,0,0,1,7,9,23,8,0,0,0,0,0,0,14,7,7,3
21,6,2,0,9,23,0,4,23,8,0,1,1,1,0,5,5,10,1,3
25,7,2,0,10,9,10,14,18,5,0,0,1,1,0,0,24,2,16,4
19,7,4,0,9,23,0,4,18,5,0,1,1,1,0,5,5,10,1,2
6,7,0,0,7,5,13,21,18,5,0,0,2,0,0,1,3,7,2,7
27,7,0,0,0,1,7,9,18,5,0,0,0,0,0,0,14,7,7,4
6,7,1,0,7,5,13,21,18,5,0,0,2,0,0,1,3,7,2,18
21,7,1,0,5,14,10,6,18,5,0,0,2,0,0,2,6,2,5,8
22,7,2,0,0,1,7,9,18,5,0,0,0,0,0,0,14,7,7,2
21,7,2,0,20,24,1,1,18,5,0,0,1,1,0,3,13,7,6,7
21,7,2,0,6,12,6,1,18,5,0,0,1,0,0,2,6,4,4,7
13,7,0,0,21,8,9,4,18,5,0,0,3,1,0,0,7,4,5,15
14,7,1,0,16,17,10,6,18,5,0,0,2,1,0,1,19,7,9,7
11,7,1,0,10,2,11,9,18,5,0,2,1,0,0,1,17,7,8,4
0,0,1,0,0,5,10,12,22,7,0,0,1,1,0,5,22,5,13,0
0,0,2,1,8,16,11,11,22,7,0,0,2,1,0,2,23,5,14,0
0,0,4,2,3,19,11,20,22,7,0,0,1,0,0,1,11,9,5,0
