 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ?), Operating Profit Per Share (Yuan ?), Per Share Net profit before tax (Yuan ?), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,BankruptClass
3198,2782,3070,2765,2778,3192,3428,3304,1221,3344,2438,1101,5403,156,332,1973,1979,1976,1247,1499,2687,1131,1350,4169,4138,3902,3908,3887,1660,3407,2288,3126,2600,3396,1621,3795,2909,1298,527,3195,3,4312,4616,1683,72,403,2235,922,2420,145,2394,2347,6162,1668,1101,511,2103,3675,3541,993,5757,3081,1825,123,1823,1984,4035,6481,6781,122,6089,5146,2055,3524,4335,6681,123,1984,4061,4134,3969,6652,4253,3786,0,6365,6426,1957,5558,6672,5005,3431,3333,0,1821,0
2616,2756,2672,2740,2755,2519,2596,2650,1210,2661,809,192,2411,252,0,1257,1264,1267,879,723,2276,781,944,4221,4610,4657,4671,4501,273,3712,2317,1431,5033,5164,1263,2055,1738,2469,6358,661,3,3691,3749,3957,133,171,4474,65,2110,195,4085,2415,215,6588,6721,6659,6052,5857,5545,3555,3271,1897,3392,3439,6721,3292,786,5717,4883,5347,3977,3300,5737,1201,5622,181,3439,3292,1281,5960,5852,3094,5867,1113,0,6243,2495,5193,5525,6236,2785,2689,2591,0,4041,0
2724,2024,2689,2362,2372,2653,2924,2830,1446,2848,63,1364,5092,125,443,1226,1233,1235,668,1150,951,556,755,4441,4381,4840,4842,4893,1714,3677,2158,2586,2776,3449,1645,2009,1703,2504,544,1820,3,2718,2936,893,55,309,2968,1303,2403,85,510,1288,5185,1873,1685,703,2424,4252,3715,1193,5754,1413,521,533,1707,1499,3682,4127,6150,748,1160,1536,2995,3786,447,6656,533,1499,3009,647,691,6157,738,3585,0,4834,5404,1531,4870,4563,2729,3444,3346,0,4097,0
3246,2950,3036,3429,3436,3325,3646,3442,1417,3468,143,1526,4306,101,1038,2062,2069,2067,1156,1054,1847,1083,1327,4368,4512,4674,4651,4712,308,4150,2493,1869,4513,4789,1207,596,561,3646,1470,347,3,4259,4573,1322,72,217,3951,327,18,93,981,2005,4546,4111,3743,2478,4079,5571,4838,1410,5942,1442,1422,5103,3103,1183,0,6548,6590,1405,3267,3031,5171,450,6141,5702,5103,1183,3,5917,6298,4856,5587,1650,0,6544,3920,335,6449,6240,768,2285,2187,0,6058,0
2852,2356,2611,2021,2041,2274,2670,2501,1634,2603,145,1159,4155,144,1089,1165,1171,1173,791,921,1945,632,870,4799,5869,5621,5636,5723,1511,2806,2244,2615,2022,2106,1306,1847,1585,2622,2314,949,3,3170,3612,1826,104,511,1658,507,184,157,1199,1327,2249,1791,1516,1222,1417,2386,1888,2511,5242,4973,3246,2081,1610,2489,2299,5768,5521,3297,6025,4955,1620,3261,2061,4614,2081,2489,1573,1915,1763,5376,2040,4475,0,5806,3234,2471,4226,5660,2516,2755,2657,0,4310,0
2358,2589,2554,3394,3403,2506,2579,2787,1202,2830,1697,571,4378,954,0,1077,1083,1085,765,821,1470,616,756,2119,1818,2326,2317,2286,1483,2292,922,2019,5584,5561,1142,628,592,3615,5263,10,3,3087,3090,1922,100,321,2861,2376,1050,122,2492,1807,1003,6557,6370,6002,6582,6317,6421,1536,6019,1716,4480,5320,6124,1279,0,5763,3846,6397,3897,3251,5902,2005,3844,1583,5320,1279,3,4004,4669,5107,3736,548,0,6252,2353,4298,6410,5760,815,1623,1525,0,6011,0
3294,3124,3137,3229,3232,3197,3408,3318,1138,3353,367,134,5325,0,86,1914,1920,1916,1288,1459,2924,1173,1404,4719,5217,5106,5109,5151,161,3871,2750,3466,5358,5310,1144,934,859,3348,5107,8,3,4359,4680,1969,149,719,1037,2381,1104,194,4232,2796,2008,6503,6206,6106,5508,6019,5508,2224,6656,2305,5089,4965,6190,1865,0,6787,6322,4974,2670,2015,5378,316,4975,1705,4965,1865,3,5472,5857,6773,5164,778,0,6796,4339,5468,6201,6761,1254,1681,1583,0,5572,0
1293,499,972,64,63,285,446,441,1260,427,2690,0,1912,238,0,135,142,143,252,662,602,146,291,3607,3629,4021,4021,3744,1341,222,1914,1665,270,571,463,5324,4029,178,123,4234,3,208,447,3719,41,243,3636,2364,2391,132,1064,374,5718,193,1703,1441,3011,621,1947,5859,2287,403,1548,1836,119,6454,3698,407,12,619,3588,2146,177,158,730,6410,1836,6454,4158,1181,1664,2844,510,6540,0,546,3756,4415,64,249,6638,557,459,0,188,0
1396,1161,1252,2020,2040,1308,1437,1351,1255,1394,1070,168,2763,196,2315,576,583,584,465,681,1515,373,520,997,967,1056,1048,1002,1284,1049,315,1862,4785,4378,2298,1494,1323,2884,5429,378,3,1343,1488,3053,115,390,2326,1955,1298,170,2085,1004,543,6271,5530,6060,5442,5102,5034,3437,4148,3442,5553,5393,6046,2956,57,2034,1810,6073,2569,1025,5012,218,1022,1231,5393,2956,202,551,526,3646,713,1372,0,2047,1026,3908,4225,1957,2048,4441,4343,0,4778,0
2899,2863,2841,2500,2516,2570,2689,2690,1274,2706,398,281,4429,174,212,1910,1916,1912,1140,1322,3131,1043,1239,3214,3156,3356,3284,3314,1577,3403,1626,3007,4730,4686,1162,1423,1269,2938,5372,8,3,4205,4488,2880,147,378,2406,202,1478,211,4382,2563,1499,6230,6202,6006,6257,5516,5764,3502,6088,2400,3917,6510,5939,2966,0,6621,5551,5060,2076,1594,4780,1127,5619,1291,6510,2966,3,6139,6148,6299,5972,1429,0,6563,4275,4976,5125,6471,1949,1971,1873,0,4877,0
2997,2656,2912,3167,3175,2845,3008,2899,1265,2971,1084,322,4326,0,419,1225,1232,1234,804,872,1465,712,896,4161,5277,5321,5326,5302,1620,3369,2411,2226,5537,5492,1140,686,642,3565,5338,8,3,3497,3575,1050,96,451,1953,1102,921,120,3606,2434,1699,6552,6647,6054,6409,6360,6267,1703,5977,1045,1344,5319,6145,1409,0,5739,4905,5310,4267,3713,6052,1897,6330,1478,5319,1409,3,6428,6571,5132,6221,596,0,6247,2147,6210,6126,5778,896,1454,1356,0,5930,0
2463,2498,2505,2900,2912,2337,2473,2491,1290,2524,1205,505,4087,5,0,766,773,774,685,771,1436,571,739,3508,3819,4855,4858,3768,1564,3420,2054,2505,5216,5123,1165,910,836,3371,3857,265,3,2821,2928,2023,121,428,2088,189,479,161,3443,2008,3233,6047,5475,4995,6240,5930,6149,1826,5570,2257,4667,3897,5332,1608,431,5527,4129,5947,2103,1608,5063,1388,5630,3237,3897,1608,519,5999,6210,4796,5725,923,0,6039,1775,4193,5763,5566,1213,2006,1908,0,5613,0
3007,2896,2943,3238,3243,2889,2872,2843,993,2856,1170,580,4703,0,124,1457,1464,1467,943,1153,2222,919,1024,3560,3550,3346,3337,3233,157,3837,1816,3119,5200,5195,1140,1058,967,3240,6175,8,3,4014,4041,2762,131,335,2728,2353,2024,172,3553,2443,370,6442,6234,6120,4638,5908,4678,2646,6284,2316,4738,5629,6143,2217,0,6459,4601,6119,3427,2699,5577,3887,991,393,5629,2217,3,649,481,6314,870,939,0,6482,2416,4775,6214,6290,1427,1454,1356,0,5399,0
2736,2263,2647,2941,2948,3073,3306,3109,1280,3158,130,1153,5284,257,782,1008,1014,1016,660,919,649,574,733,4569,5081,4924,4924,4976,1550,3940,2022,2661,5568,5711,1410,536,508,3699,1655,622,3,2812,2912,747,54,237,3704,1885,2433,75,234,1298,2917,5444,4928,3229,6389,6416,6517,554,6447,693,0,1818,4297,531,1403,4848,6381,898,4431,3858,6150,2280,6595,5719,1818,531,1113,6440,6611,6013,6203,564,0,5567,1541,510,5812,4738,690,3139,3041,0,6136,0
3197,3086,3089,3124,3129,3144,3364,3294,1167,3333,267,1515,4660,323,0,2010,2016,2014,1261,1302,2792,1138,1363,3430,3594,3571,3563,3552,219,3963,2078,2561,5462,5421,1141,953,874,3333,5701,28,3,4320,4622,3444,125,180,4376,2263,1400,164,4459,2820,1627,6713,6577,6695,5812,6100,5670,2455,6267,2349,5386,5824,6621,2050,0,6702,6373,3984,4164,3247,5988,1004,5607,1025,5824,2050,3,5876,6124,6177,5612,673,0,6745,3100,5874,6067,6681,1279,1538,1440,0,5547,0
344,449,358,673,692,1086,922,899,681,910,2871,1223,658,174,0,370,377,378,193,272,2705,318,237,2334,505,288,286,268,1410,389,327,156,1240,2214,716,5087,3833,374,2616,3960,3,903,304,5075,146,126,4911,932,916,385,3796,847,1910,2166,6220,5775,2486,2420,1164,6639,564,4710,1117,5984,3411,6542,0,843,760,5535,1314,1175,1491,3305,2834,2326,5984,6542,3,2721,2792,328,2580,5430,0,533,1355,2567,999,315,6397,805,707,0,429,0
1669,1313,1761,1442,1449,1473,1568,1612,1224,1721,323,5,2731,208,0,659,666,667,488,653,622,370,520,4318,2870,2175,2168,2096,240,4114,1257,1735,4216,4246,2675,1409,1261,2946,1148,1632,3,1322,1471,639,67,866,753,187,2442,98,1385,1042,5422,3720,2948,2222,5876,5010,5983,1569,3299,2595,3321,1529,3138,1611,2433,883,2777,1988,3343,2658,5046,1909,6600,6045,1529,1611,1989,6505,6440,2832,6411,1972,0,2365,2782,227,2900,2191,1929,5140,5042,0,4897,0
1286,1350,1316,424,414,1271,1362,1335,1217,1400,2396,1010,759,140,375,1131,1137,1139,530,394,3655,492,576,5540,5373,5129,5132,5166,877,1992,2233,789,3590,2523,2717,3490,2709,1498,2381,3039,3,2289,1902,4217,321,1005,564,817,1035,581,4270,1115,2219,5258,5031,5491,2443,3780,1972,4802,808,4030,4592,2939,5809,4794,1735,2358,2825,2883,5805,4754,1747,3157,1884,4132,2939,4794,2544,628,906,782,546,2655,0,2614,2309,5462,507,2680,4628,5345,5247,0,2198,0
2399,1911,2427,1512,1516,2294,2331,2322,1161,2347,2536,1052,4072,198,100,787,794,795,627,1033,1292,541,677,3520,3716,3984,3990,3910,1461,3191,1510,2305,1489,2068,2170,3210,2522,1685,1153,2817,3,2645,2616,2305,72,303,3027,337,32,141,1423,1391,4564,1644,2717,2115,2303,2314,2113,4152,5233,5005,1932,2357,1680,4256,2748,4268,6191,560,1677,1042,1848,3528,4296,5557,2357,4256,2745,4163,4081,6103,4196,5117,0,4611,5890,2292,3079,4792,4291,4654,4556,0,2535,0
1744,1236,1628,822,827,1419,1571,1370,1282,1437,2689,0,2383,165,2417,420,427,428,477,805,1797,405,557,5178,5608,5105,5108,5142,1381,1617,1796,2319,488,914,3282,4758,3582,625,133,3832,3,1594,1751,4376,94,235,3734,19,49,247,1186,1010,3768,392,2751,3049,1915,779,1008,6327,3419,170,2291,4681,343,6263,1240,1382,2390,1317,1051,5278,511,3340,4227,5928,4681,6263,1738,4378,4021,4465,4810,6303,0,2006,1760,6149,1364,2186,6056,5541,5443,0,770,0
2759,2359,2766,1765,1786,2680,2913,2868,1387,2906,2361,1035,4374,133,0,1194,1200,1202,751,1224,1294,631,904,4042,4098,4088,4155,4066,1690,4313,1987,2752,1066,1481,1679,2168,1821,2386,501,1885,3,3163,3333,1371,71,397,2276,257,2437,135,1426,1593,5531,1104,1466,1003,563,1675,736,3141,5618,5987,2050,2420,1048,3076,2828,4943,6775,40,491,5313,1171,3204,1282,6480,2420,3076,2053,1414,1390,6092,1510,5638,0,5552,5883,2726,3677,5456,2941,3694,3596,0,3885,0
2336,1704,2191,2263,2281,2049,2028,2007,1115,2235,724,0,5167,752,168,451,458,459,540,788,676,427,564,4429,6221,5261,5269,5403,1467,2075,2634,2595,5310,5399,1143,401,388,3819,1547,8,3,1781,1806,1383,88,277,3275,493,55,103,593,1128,2694,5277,4415,3295,4423,6088,5374,917,6541,1633,3297,4699,4019,777,0,1081,3533,4573,2036,1951,5084,4009,2514,5723,4699,777,3,2464,1863,6064,2616,827,0,4135,266,5984,4709,3355,504,1642,1544,0,6322,0
2715,2494,2614,2085,2108,2515,2644,2649,1282,2668,2882,1227,4218,266,109,747,754,757,707,911,1377,603,762,4955,5443,5773,5780,5680,1676,3405,2367,2879,3206,3521,1449,2087,1760,2447,1449,1227,3,2996,3079,2038,103,425,2104,312,113,158,1323,1470,3572,3431,3454,2923,5089,3971,4849,3164,5470,3315,2958,2625,3153,3046,2018,4776,5881,2701,1178,582,3339,502,5290,5471,2625,3046,1908,5429,5423,5856,5331,3095,0,5915,4787,6277,4367,5876,2832,2486,2388,0,3994,0
1342,1076,1247,2293,2305,1313,1323,1295,1132,1349,1306,667,1974,0,876,1022,1028,1030,456,613,1463,373,498,2527,1374,1105,1094,1022,1370,1192,1148,1364,5187,4822,1140,825,764,3443,4259,8,3,1349,1326,2313,93,396,2289,2289,502,118,2742,1037,2240,5932,4624,4767,5478,5684,5635,1762,2627,3036,5694,4329,5119,1526,0,4502,1642,5929,2817,1511,5344,771,1535,2746,4329,1526,3,1347,905,2107,1609,952,0,1724,1179,4168,4761,1677,1095,1454,1356,0,5731,0
1068,900,937,1824,1845,772,1174,1119,1581,1069,1360,489,2189,173,0,555,562,563,398,628,1026,271,463,1403,307,684,682,544,1375,932,704,1469,4384,4713,583,1775,1529,2678,1969,1130,3,622,1135,806,85,936,654,398,104,122,2593,616,4806,5036,5139,4081,4117,5386,4260,2662,2771,1745,1926,2444,4590,2558,1728,1786,1402,5654,2721,2561,4872,3887,1075,5040,2444,2558,1787,938,868,2518,1089,1791,0,1255,626,4337,3803,1291,2430,568,470,0,4396,0
1614,1709,1541,1086,1101,1807,1910,1799,1239,1855,2603,1199,796,115,1143,1049,1065,1067,623,396,2437,558,699,2211,2350,2184,2176,2093,1009,2038,1066,533,3666,3077,1380,3196,2512,1695,5999,1755,3,2741,2765,4688,121,115,4995,2310,1878,211,5380,2690,1933,5826,5390,6407,3632,3460,2691,5440,747,4429,5173,5142,6270,5068,393,3495,5383,1091,3495,1368,4791,3586,2176,466,5142,5068,782,1934,1977,733,1917,2571,0,4050,3970,5166,2011,4194,4276,3001,2903,0,2550,0
1753,1821,1660,459,447,1254,1438,1396,1313,1463,2442,1025,382,392,859,818,825,826,653,87,3749,522,721,4183,6188,5967,5968,5966,422,2767,2285,70,2198,1638,1998,4888,3676,531,6214,2653,671,2516,2911,5090,372,1092,461,811,2279,698,5273,1391,141,4539,5195,6665,549,1620,205,6558,283,5490,4703,6611,6312,6429,0,3327,3709,3694,5827,4715,1365,2717,1660,160,6611,6429,3,333,782,114,143,4274,0,3866,4439,1540,566,5029,6188,4376,4278,0,638,0
1722,1772,1607,422,412,1363,1514,1443,1281,1513,2353,983,1054,221,1476,955,961,1023,653,481,3652,593,759,2569,3078,3946,3953,3958,937,3412,1487,820,4062,3520,2277,4155,3149,1058,4188,3045,3,2932,3025,4853,326,750,963,423,1560,641,5530,2245,4482,6064,5510,6387,1436,4025,1153,4954,1217,4124,5316,2263,6752,5244,1960,3610,5825,693,5888,4793,2214,2940,3389,2261,2263,5244,3344,4313,4073,1126,4554,2141,0,4130,3081,6252,503,4734,5410,4703,4605,0,1416,0
567,629,662,259,260,929,1147,1143,1287,1182,2447,1032,1679,199,0,466,473,474,374,594,2650,245,399,200,593,758,757,747,1352,562,181,1034,4407,2225,1098,949,869,3338,2006,221,3,490,815,3162,276,1130,423,369,670,340,3636,664,2646,4962,1657,3913,1208,2599,1665,2519,2177,4983,6217,6626,4039,2089,0,1115,476,2490,5793,4648,1891,2585,3006,5044,6626,2089,3,3124,3237,1892,3072,1768,0,809,1544,2958,274,975,1273,1354,1256,0,5553,0
1179,771,1301,226,224,470,572,627,784,616,298,10,4058,261,0,649,656,657,346,849,486,248,362,188,653,763,762,746,1546,593,281,1940,674,814,362,4325,3257,950,337,3551,3,503,679,866,31,467,1873,2373,2370,59,2713,327,6626,732,378,266,2716,860,3659,1674,3735,20,2975,209,718,3010,4066,1560,353,960,2038,9,713,696,293,6732,209,3010,4102,779,1160,4624,551,6100,0,1031,6747,3306,236,898,5598,533,435,0,1228,1
5,9,5,103,103,427,337,326,275,322,2650,974,380,321,0,47,53,53,16,381,2067,49,30,71,182,54,54,48,1131,39,11,104,2383,1109,1024,5025,3780,427,6256,4025,3,51,24,5056,224,876,737,2339,2256,450,5283,16,231,4529,4533,6392,2582,1552,1417,6351,343,5496,4985,4084,6486,6392,1178,46,62,6758,5990,4787,1739,3188,2629,156,4084,6392,2709,1968,2244,142,1592,4052,0,9,1216,1711,105,22,6333,1230,1132,0,493,1
1169,1337,1105,539,532,1335,1368,1324,1156,1390,2469,1017,3042,353,1923,1513,1520,1521,577,1271,3781,771,666,811,1327,1199,1192,1153,1237,372,466,2122,3195,1269,2383,4182,3163,1044,6443,1814,3,3685,2568,4860,352,1161,390,225,2314,654,5604,2439,121,5851,4697,6815,4779,1827,3193,6240,4670,5250,5633,6626,6719,5984,0,2865,2264,5516,5809,4675,1632,3265,3150,54,6626,5984,3,3854,3686,5800,4003,3108,0,2738,2819,1920,728,3027,5440,4782,4684,0,1386,1
20,8,11,154,155,101,113,92,170,110,2087,849,4083,0,0,86,95,96,49,658,400,40,67,166,649,469,469,523,1098,46,24,2609,4880,4241,1138,1200,1091,3116,4271,8,3,46,61,1940,70,109,5037,2300,595,84,1571,74,1044,5877,4678,5031,6241,5255,6005,2516,5608,3326,5572,4182,5270,2188,0,23,108,6802,2333,905,4975,1422,6368,2586,4182,2188,3,6601,6566,5269,6508,1273,0,5,804,2861,160,36,1626,1428,1330,0,5200,1
1920,512,704,3330,3338,2034,1867,654,955,733,1778,516,2000,372,0,80,88,89,362,620,576,416,541,5305,5276,4298,4300,4274,1235,312,2308,1894,1732,822,487,4686,3528,679,2314,3604,3,1707,1653,3808,68,522,1617,2159,198,170,1541,1290,2671,2171,2281,3039,2300,1395,1846,4833,2347,5749,4248,1488,2926,5525,2944,120,1031,6413,2279,5355,2380,2840,386,3946,1488,5525,3725,258,649,2715,111,4827,0,503,151,1950,6333,368,5982,5517,5419,0,844,1
1688,1512,1546,495,489,1153,2382,2235,2132,2178,2581,1047,4181,225,1046,1287,1294,1297,543,817,757,341,615,886,911,1898,1942,1809,1443,2508,1034,2236,2640,2828,2237,1486,1319,2888,4398,1430,230,1085,2179,941,42,249,3560,139,163,61,1377,916,2829,1742,924,590,1654,3090,2982,1112,4777,4346,3461,860,1522,1247,3404,2805,6121,97,1697,573,3115,3636,4180,2685,860,1247,2314,3706,3938,4374,3553,3743,0,3204,4906,1472,630,2887,2035,4714,4616,0,4791,0
229,199,239,598,675,240,60,57,21,67,1772,1275,2141,182,0,472,479,480,243,604,71,297,234,644,2811,3835,3837,4110,829,361,2113,1564,365,450,1055,1312,1183,3024,2406,842,634,761,286,183,10,157,4628,200,2359,14,487,439,6042,582,302,96,404,1102,1014,1053,2406,504,628,972,609,1135,3674,462,303,5900,4326,3605,232,2945,4267,4743,972,1135,1581,3214,3350,2118,3166,6439,0,211,3717,1077,843,356,1788,1276,1178,0,5038,0
2244,1564,1960,1904,1931,1747,2856,2690,2137,2237,585,230,4863,1061,903,1385,1392,1395,534,880,619,394,617,2801,3265,1694,1650,4332,1248,400,697,1965,2489,3231,1284,722,671,3536,1544,780,3,1507,2381,327,33,693,1093,263,2401,41,3030,1404,6388,1706,1237,620,4915,3494,5510,1230,6194,3395,2034,3224,1412,1095,1369,2872,5008,1373,2389,1865,3262,1756,121,5665,3224,1095,612,165,130,5725,290,3925,0,3932,6772,1765,3969,3290,944,2456,2358,0,5882,0
2484,2213,2405,2399,2416,2761,3235,3038,1792,3075,2932,1272,4865,190,777,942,948,950,682,860,804,544,756,1869,2440,2069,2117,2003,1404,2516,776,1962,3005,3615,1507,1322,1190,3017,2698,1124,693,2601,3022,595,55,581,1396,791,40,80,1440,1642,4339,1886,1364,589,2358,4202,3849,943,5615,2287,1390,827,1605,1039,3381,4959,6343,1073,147,94,2703,3677,2580,4610,827,1039,2260,2671,2515,5430,2737,3327,0,5619,6691,885,4946,5193,1801,3371,3273,0,5025,0
3029,2815,2893,2549,2568,3021,3441,3259,1797,3181,2637,1194,5346,91,726,1675,1682,1680,954,1309,1752,857,1127,3538,3793,3764,3766,3303,1461,2197,1864,2619,4843,5048,1176,693,648,3559,1687,292,3,3866,4300,852,80,524,1606,836,57,99,1680,1909,4651,4494,3857,2679,6065,5788,6198,1173,6605,1548,2051,3229,3486,1038,1056,6217,6748,440,1824,1879,4723,1675,6002,5577,3229,1038,789,6046,6325,6627,5739,1312,0,6542,6662,741,5211,6268,906,2087,1989,0,5920,0
3177,2703,2977,3246,3253,3281,3618,3431,1551,3458,2902,1469,5520,197,643,1393,1400,1403,881,1217,955,776,948,1908,2575,2449,2440,2408,1364,1055,1043,2309,5324,5367,1193,264,260,3947,1876,247,3,3655,3871,416,56,766,933,350,4,64,4334,2847,6477,3668,2233,1263,4950,6076,6174,302,6761,1758,3757,2090,2646,284,1073,6620,6688,766,1509,1392,4885,1185,712,5548,2090,284,565,885,316,6684,1250,813,0,6483,6793,1111,6225,6008,329,2215,2117,0,6497,0
2680,2128,2518,3053,3050,2613,2982,2894,1590,3004,1140,393,5215,212,337,687,694,695,613,866,561,476,655,3938,5139,5138,5142,5393,1491,2623,1562,2182,5528,5446,1342,612,576,3631,2583,518,266,2176,2470,867,59,656,1176,2259,45,73,2746,1982,5526,5891,4885,4209,6477,6211,6474,889,6451,2052,5085,2719,4951,809,819,4691,4841,3982,4557,3657,6202,2273,6401,4722,2719,809,779,6205,6477,6149,5922,605,0,5388,6554,6438,5970,4589,790,2267,2169,0,6036,0
2051,2047,1982,2242,2256,2649,3485,3292,2208,2650,2881,1313,4520,92,772,1100,1106,1108,584,872,650,497,764,1339,2067,3669,3705,2022,1353,1579,1537,1823,4770,5157,1628,2045,1730,2477,2113,2131,3,2256,3098,678,36,247,3597,846,2415,57,3133,2149,6293,4380,4024,2600,5295,5806,5755,1223,4945,1142,925,531,4055,1548,3101,4593,6518,449,4778,4005,6149,1960,4966,5157,531,1548,3046,4188,4323,5102,4078,1387,0,5301,5567,754,4666,5089,2772,3671,3573,0,4054,0
1472,668,1187,621,619,508,573,559,685,517,856,413,3403,251,0,873,880,881,289,874,624,241,337,298,458,419,418,380,1418,686,681,2267,1351,1411,543,3431,2667,1540,974,2559,173,480,588,672,34,457,1932,18,2389,61,2848,350,6425,1453,2447,1622,5317,2429,4835,3710,4217,4746,1394,1579,1489,4058,3251,1153,542,2585,4510,3631,2729,2050,6495,5821,1579,4058,3210,5921,5562,4863,6029,5291,0,836,6684,2163,895,827,4555,643,545,0,2271,0
2063,1809,1863,1160,1177,1803,2093,1955,1443,2001,2317,1138,2166,167,1189,1275,1282,1285,730,780,2824,617,833,2299,2777,2647,2638,2613,981,1994,1240,1392,1257,1584,2001,4499,3379,828,1402,3063,1355,3089,3466,3923,102,290,3160,55,181,233,3077,1456,4864,1521,2373,2511,1793,1469,1471,4844,2615,5943,3113,1737,1796,5378,2882,4526,5181,1566,361,4570,1343,3317,3865,4854,1737,5378,3431,4040,3784,3051,4272,5410,0,4290,5428,644,2202,5133,5782,4258,4160,0,1044,0
363,423,339,692,704,375,405,381,538,368,1348,547,351,627,0,551,558,559,317,530,291,257,365,327,388,153,149,165,1287,419,401,993,4812,4785,1082,223,223,3984,5396,105,3,553,688,462,37,747,970,101,356,41,4025,102,4496,3440,2142,1360,5543,5588,6180,593,272,2364,4002,5609,2442,498,0,761,466,4699,3754,3002,5562,2015,1622,1528,5609,498,3,2090,1203,951,2326,1344,0,480,6201,4467,1041,761,276,1321,1223,0,6550,0
2200,1506,1994,1368,1373,1919,1850,1821,1057,1888,2771,1150,4664,297,250,1087,1093,1095,543,1000,1242,467,594,2900,4088,4441,4434,4361,1495,2829,1509,2318,3356,3987,2136,1475,1312,2895,1613,1267,3,2096,1949,1101,75,365,2503,842,49,108,696,1111,3151,2796,2692,1621,4859,4521,5196,1840,5801,2053,1425,1827,2338,1820,2330,2972,4156,1489,878,919,3293,748,4223,5492,1827,1820,1693,4124,4393,5869,3954,2922,0,3165,5458,1008,2721,2855,2020,4701,4603,0,4806,0
1880,1882,1895,3355,3360,2948,2420,2385,498,2429,1320,567,4963,0,312,2133,2140,2139,867,1368,2618,1035,838,3573,3754,2051,2044,2011,865,372,905,3029,4309,4619,1140,929,854,3353,4682,8,3,4194,3807,895,72,704,1064,60,552,86,3760,2543,3489,4617,4406,3474,6041,5231,5864,2341,6448,2169,2663,5550,3749,1947,0,6260,3206,6056,2954,2531,4924,1689,414,2208,5550,1947,3,295,243,6493,446,1872,0,4961,6310,4139,6363,4249,1244,1454,1356,0,5582,0
115,144,91,2109,2129,756,383,332,198,305,1546,545,459,197,0,296,302,303,104,469,872,276,182,875,119,436,434,385,1147,161,225,643,4249,4098,1055,2874,2298,1909,4441,1189,3,650,197,1457,70,1113,440,2227,631,121,3726,455,2924,5426,5021,4924,6177,4816,5681,3429,550,3114,4335,1856,5622,3570,1739,287,638,6678,3426,2380,5109,1622,571,2191,1856,3570,2256,389,584,554,388,1937,0,103,6212,3499,4412,172,3878,1262,1164,0,2948,0
2151,2141,1977,3201,3208,2638,3242,3060,1934,2802,1351,650,4795,590,690,1715,1721,1719,736,1017,1349,631,884,1010,2117,2055,2025,1624,1209,244,826,1739,2931,2979,1219,662,622,3585,5544,264,1000,3150,3734,836,51,489,1766,2292,749,62,4374,2605,3445,2103,1345,924,2459,3427,3576,1383,6258,4040,3530,4344,1642,1197,0,6314,4733,4905,590,5304,2865,3659,190,1260,4344,1197,3,143,113,5751,257,3405,0,5833,6177,2851,6165,5154,861,2381,2283,0,5965,0
